u_id,tran_id,article_id,position,time_before_click,time_on_page,sequence,non-clickbait,clickbait,age,gender,residence,edu_level,edu_stream,news_source,news_interest,id
yvliqtdhub,bcwfiphukikisul,11,2,4504,2498,2,1,0,24,Female,Town,PG,MassComm,11111,11010000,yvliqtdhub
yvliqtdhub,xefdhkhhdecxiin,20,0,1161,6412,3,0,1,24,Female,Town,PG,MassComm,11111,11010000,yvliqtdhub
zeqyleyefr,brwzuyxwrmupehy,20,3,20359,7473,1,0,1,20,Female,Town,PG,MassComm,11000,11000111,zeqyleyefr
zeqyleyefr,cmvvukvigyakgui,0,1,2739,1468,2,0,1,20,Female,Town,PG,MassComm,11000,11000111,zeqyleyefr
zeqyleyefr,pfwslrxcrlfjscc,0,1,884,1316,3,0,1,20,Female,Town,PG,MassComm,11000,11000111,zeqyleyefr
zipsbyluqs,ekgpgxvpbfktgcz,50,3,7544,2037,1,0,1,20,Male,City,UG,Science,1100,1100000,zipsbyluqs
zipsbyluqs,nthyxeafwhwfaiv,30,2,3402,908,2,0,1,20,Male,City,UG,Science,1100,1100000,zipsbyluqs
zipsbyluqs,njbqrrgrzqwltuz,41,0,1691,831,3,1,0,20,Male,City,UG,Science,1100,1100000,zipsbyluqs
zlfqltfgkt,ismljnfktritgax,41,5,15921,5375,1,1,0,21,Male,City,PG,MassComm,1010,10100011,zlfqltfgkt
zlfqltfgkt,ajxztpejjwjublx,0,3,7431,2812,2,0,1,21,Male,City,PG,MassComm,1010,10100011,zlfqltfgkt
zlfqltfgkt,rjhokraaearfrlp,10,0,5516,1925,3,0,1,21,Male,City,PG,MassComm,1010,10100011,zlfqltfgkt
