u_id,tran_id,article_id,position,time_before_click,time_on_page,sequence,non-clickbait,clickbait,age,gender,residence,edu_level,edu_stream,news_source,news_interest,id
frdivxtgcp,lweulvpcgpinejl,10,4,15740,1622,2,0,1,22,Male,City,UG,Science,10,11001,frdivxtgcp
frdivxtgcp,gxulmkwxarzksia,41,1,9095,1401,3,1,0,22,Male,City,UG,Science,10,11001,frdivxtgcp
gdoephlubd,pqteuchpueglyws,41,0,7341,99761,1,1,0,23,Female,City,PG,MassComm,11010,10000111,gdoephlubd
gdoephlubd,gtfccvxvkcyhefi,20,1,1800,137316,2,0,1,23,Female,City,PG,MassComm,11010,10000111,gdoephlubd
gdoephlubd,tfsyzsjqypmtztg,51,2,28385,111934,3,1,0,23,Female,City,PG,MassComm,11010,10000111,gdoephlubd
gtdxwvuwss,cffxagymfofvolj,40,0,14179,227153,1,0,1,21,Male,City,UG,Science,1100,10111001,gtdxwvuwss
gtdxwvuwss,vddourkjnztvici,0,1,7233,279488,2,0,1,21,Male,City,UG,Science,1100,10111001,gtdxwvuwss
gtdxwvuwss,qhoekzzrjhxlavc,10,2,3247,70799,3,0,1,21,Male,City,UG,Science,1100,10111001,gtdxwvuwss
hevmvbbnuh,jdqbgdetifghsqs,21,0,23232,19782,1,1,0,21,Male,Village,UG,Science,1001,1100111,hevmvbbnuh
hevmvbbnuh,uashcgnoznscytn,50,1,1858,16671,2,0,1,21,Male,Village,UG,Science,1001,1100111,hevmvbbnuh
hevmvbbnuh,eearnslmzdkrjhs,30,4,2122,20728,3,0,1,21,Male,Village,UG,Science,1001,1100111,hevmvbbnuh
hgsyhryazv,cxovplamyhbkxnh,10,3,19345,44901,1,0,1,24,Female,City,PG,MassComm,11111,11010011,hgsyhryazv
hgsyhryazv,qyotbxcurzuqmii,31,4,5518,44469,2,1,0,24,Female,City,PG,MassComm,11111,11010011,hgsyhryazv
hgsyhryazv,kqvbojgkvjpyelv,40,5,2990,27070,3,0,1,24,Female,City,PG,MassComm,11111,11010011,hgsyhryazv
hlopznrqcz,wlwzelzbndgywzy,40,0,4497,46827,1,0,1,22,Male,City,UG,Science,11110,10100011,hlopznrqcz
hlopznrqcz,dsmfbkcbecpouxd,31,3,11772,60987,2,1,0,22,Male,City,UG,Science,11110,10100011,hlopznrqcz
hlopznrqcz,tcjibsokceewxae,10,4,17586,50328,3,0,1,22,Male,City,UG,Science,11110,10100011,hlopznrqcz
hotosvyxyd,xwvlpnqymvbhalr,11,0,38281,8470,1,1,0,21,Male,City,UG,Science,11011,11101001,hotosvyxyd
hotosvyxyd,yjdfkrefxpeysbv,31,4,8699,1792,2,1,0,21,Male,City,UG,Science,11011,11101001,hotosvyxyd
hotosvyxyd,acepgumvsjwhwoq,20,5,1176,4725,3,0,1,21,Male,City,UG,Science,11011,11101001,hotosvyxyd
ikyovfdtne,gqenzskehgzbgve,0,5,9386,14468,1,0,1,22,Female,City,UG,Science,1110,10000111,ikyovfdtne
ikyovfdtne,ytuodimqvkeaomm,40,1,3688,6577,2,0,1,22,Female,City,UG,Science,1110,10000111,ikyovfdtne
ikyovfdtne,cgybgjyodzjamnb,31,4,5150,15742,3,1,0,22,Female,City,UG,Science,1110,10000111,ikyovfdtne
