tran_id,article_id,position,time_before_click,time_on_page,sequence,non-clickbait,clickbait,age,gender,residence,edu_level,edu_stream,news_source,news_interest,id
ljozsiffkqxhtrz,0,3,2538,11273,3,0,1,20,Male,City,UG,Science,1000,1100110,euolxnylrb
cpwymlvhdadkbvz,11,0,15737,8029,1,1,0,24,Male,Town,PG,MassComm,11110,11111000,exvqbhcpqn
szgsaakscsjdgdc,50,1,4339,1312,2,0,1,24,Male,Town,PG,MassComm,11110,11111000,exvqbhcpqn
ygzzysszowrjmhk,41,2,1484,1414,3,1,0,24,Male,Town,PG,MassComm,11110,11111000,exvqbhcpqn
pqteuchpueglyws,41,0,7341,99761,1,1,0,23,Female,City,PG,MassComm,11010,10000111,gdoephlubd
gtfccvxvkcyhefi,20,1,1800,137316,2,0,1,23,Female,City,PG,MassComm,11010,10000111,gdoephlubd
tfsyzsjqypmtztg,51,2,28385,111934,3,1,0,23,Female,City,PG,MassComm,11010,10000111,gdoephlubd
cffxagymfofvolj,40,0,14179,227153,1,0,1,21,Male,City,UG,Science,1100,10111001,gtdxwvuwss
vddourkjnztvici,0,1,7233,279488,2,0,1,21,Male,City,UG,Science,1100,10111001,gtdxwvuwss
qhoekzzrjhxlavc,10,2,3247,70799,3,0,1,21,Male,City,UG,Science,1100,10111001,gtdxwvuwss
cxovplamyhbkxnh,10,3,19345,44901,1,0,1,24,Female,City,PG,MassComm,11111,11010011,hgsyhryazv
qyotbxcurzuqmii,31,4,5518,44469,2,1,0,24,Female,City,PG,MassComm,11111,11010011,hgsyhryazv
kqvbojgkvjpyelv,40,5,2990,27070,3,0,1,24,Female,City,PG,MassComm,11111,11010011,hgsyhryazv
xwvlpnqymvbhalr,11,0,38281,8470,1,1,0,21,Male,City,UG,Science,11011,11101001,hotosvyxyd
yjdfkrefxpeysbv,31,4,8699,1792,2,1,0,21,Male,City,UG,Science,11011,11101001,hotosvyxyd
acepgumvsjwhwoq,20,5,1176,4725,3,0,1,21,Male,City,UG,Science,11011,11101001,hotosvyxyd
fldqrolegkfxsvq,30,0,19940,109073,1,0,1,22,Female,City,PG,MassComm,11010,10001111,iqvqbamanh
ixrtbvgysgrxxwr,20,3,4573,74771,2,0,1,22,Female,City,PG,MassComm,11010,10001111,iqvqbamanh
dubplmzxsqtszng,1,5,8417,33909,3,1,0,22,Female,City,PG,MassComm,11010,10001111,iqvqbamanh
cnkhmkwcxidugsz,51,0,41026,258935,1,1,0,21,Male,City,UG,Science,1010,111011,irntchdwnd
xoejrkbkpfsgegy,11,2,6106,72779,2,1,0,21,Male,City,UG,Science,1010,111011,irntchdwnd
wyiklebikzbpzrk,40,1,7312,90921,3,0,1,21,Male,City,UG,Science,1010,111011,irntchdwnd
jklnoywnfqthbga,1,5,14723,13440,1,1,0,24,Male,City,UG,MassComm,11110,10101110,jgrhnhofap
gpgsgooubionvlr,21,1,30162,28685,2,1,0,24,Male,City,UG,MassComm,11110,10101110,jgrhnhofap
pmtthpaenetsssf,40,2,4149,65834,3,0,1,24,Male,City,UG,MassComm,11110,10101110,jgrhnhofap
uquketvxmsexvyt,20,2,35261,14011,1,0,1,22,Female,City,PG,MassComm,10110,11100111,jhdvhmzcox
ukrjwyxsbmnrzqw,20,2,11325,27663,2,0,1,22,Female,City,PG,MassComm,10110,11100111,jhdvhmzcox
vdqiranayngawnf,30,5,10489,76712,3,0,1,22,Female,City,PG,MassComm,10110,11100111,jhdvhmzcox
vpabiduqzfttbwc,40,1,9038,4256,1,0,1,23,Male,Village,PG,MassComm,10000,10001011,jmxsslgzsb
okwuybkqpewwjjf,50,5,3107,2169,2,0,1,23,Male,Village,PG,MassComm,10000,10001011,jmxsslgzsb
hetalxwsyzfpmju,40,1,811,1623,3,0,1,23,Male,Village,PG,MassComm,10000,10001011,jmxsslgzsb
ubheggvoruwimdi,10,5,23404,67633,1,0,1,22,Female,City,UG,MassComm,1010,11100101,josickrldy
oitxkpfjanvvnqw,31,1,7278,58088,2,1,0,22,Female,City,UG,MassComm,1010,11100101,josickrldy
nuhdspmnqduxulw,20,3,4895,23076,3,0,1,22,Female,City,UG,MassComm,1010,11100101,josickrldy
dvpimqkvjxmnnom,21,1,16094,48176,1,1,0,21,Male,Town,UG,Science,1111,11100011,jtcirquqlh
jogtizxohqalmrl,51,0,2756,56776,2,1,0,21,Male,Town,UG,Science,1111,11100011,jtcirquqlh
kfdkcsgshisydcj,40,3,4123,36157,3,0,1,21,Male,Town,UG,Science,1111,11100011,jtcirquqlh
ytkgjrgtqcthkpy,10,0,9207,58444,1,0,1,21,Female,City,PG,Science,11111,10011,ktdensgpmu
dpjloubxdhvrkat,31,1,21964,16845,2,1,0,21,Female,City,PG,Science,11111,10011,ktdensgpmu
gmimodlennoboav,0,4,8895,7406,3,0,1,21,Female,City,PG,Science,11111,10011,ktdensgpmu
ndtfficsazshnef,11,2,24305,75180,1,1,0,23,Male,City,UG,Science,1111,11011111,kwqaluxnvc
ojepzerbpswffas,21,0,17186,55791,2,1,0,23,Male,City,UG,Science,1111,11011111,kwqaluxnvc
zomdjwkybpkedto,30,1,13185,55099,3,0,1,23,Male,City,UG,Science,1111,11011111,kwqaluxnvc
vfyofqprkayxyrp,51,2,9642,184679,1,1,0,23,Female,City,PG,MassComm,11000,11000000,lbprieypiq
vuccrpbxkqprmay,1,4,5914,47006,2,1,0,23,Female,City,PG,MassComm,11000,11000000,lbprieypiq
uyfhsbvqfrmfuvi,20,1,4484,45950,3,0,1,23,Female,City,PG,MassComm,11000,11000000,lbprieypiq
uejyvyyjluczuli,31,4,21855,88400,1,1,0,25,Male,City,PG,MassComm,10010,10000001,lbunehplfe
xcavpyjbyngftto,20,3,33760,6519,2,0,1,25,Male,City,PG,MassComm,10010,10000001,lbunehplfe
igzgkafuocdddkw,10,2,4646,14456,3,0,1,25,Male,City,PG,MassComm,10010,10000001,lbunehplfe
sogvpiahxhafrzk,31,2,12735,4210,1,1,0,24,Male,City,PG,MassComm,10101,10010011,ljfswgecxb
bfvivmfbworzfbx,11,3,16870,3053,2,1,0,24,Male,City,PG,MassComm,10101,10010011,ljfswgecxb
yjpbhxbcnypmgei,21,4,4465,2617,3,1,0,24,Male,City,PG,MassComm,10101,10010011,ljfswgecxb
pkcqcevseizraau,10,0,16792,39134,1,0,1,23,Female,City,PG,MassComm,11110,11000100,lwneooztxl
vzbalpmdfjbculc,31,5,6930,8732,2,1,0,23,Female,City,PG,MassComm,11110,11000100,lwneooztxl
jubpsxhnzjayknk,1,2,3204,7951,3,1,0,23,Female,City,PG,MassComm,11110,11000100,lwneooztxl
uxmxdbdgjsbknmg,1,1,7282,26939,1,1,0,20,Male,City,UG,Science,100,11000011,makhzyiaku
yrmhgcmvqxekgqp,30,4,9840,37625,2,0,1,20,Male,City,UG,Science,100,11000011,makhzyiaku
plnzkyuypnbrjpd,50,0,11167,29149,3,0,1,20,Male,City,UG,Science,100,11000011,makhzyiaku
fugprfpqshbhhqt,31,3,23539,24677,1,1,0,22,Male,City,UG,Science,1110,10010001,mhmwdzvuyq
vnefjviyqhpnzgz,10,0,8482,64517,2,0,1,22,Male,City,UG,Science,1110,10010001,mhmwdzvuyq
idummmffjhbstie,1,1,11898,20421,3,1,0,22,Male,City,UG,Science,1110,10010001,mhmwdzvuyq
nofhtzooxevkpwn,30,2,6309,12334,1,0,1,23,Female,City,UG,Science,1111,11100111,mkzwciwjnw
ylaiqoibcouioez,50,4,11156,7296,2,0,1,23,Female,City,UG,Science,1111,11100111,mkzwciwjnw
bnjdtmtiexonzvu,10,3,4894,70111,3,0,1,23,Female,City,UG,Science,1111,11100111,mkzwciwjnw
ppjbiuvuuskfufp,20,0,1524,49136,1,0,1,21,Female,City,PG,MassComm,11111,10010011,mlldgdnuld
gqscyxuvdlvmauy,31,1,14785,81490,2,1,0,21,Female,City,PG,MassComm,11111,10010011,mlldgdnuld
hhuamfygxslassw,10,2,6397,85493,3,0,1,21,Female,City,PG,MassComm,11111,10010011,mlldgdnuld
jgcuomckinjzejq,30,2,29399,62872,1,0,1,21,Female,City,PG,MassComm,11101,11001111,mqxbdnjfdx
